ï»¿idx,question,choice,ground_truth,qn_num
13,"An 18-year-old woman with sickle cell disease is brought to the emergency department by her parents because of a 2-hour history of severe abdominal pain and nausea. Her parents say that she had a cheeseburger, milk shake, and chocolate bar for lunch. Her temperature is 37ÃâÃÂ°C (98.6ÃâÃÂ°F). Physical examination shows tenderness over the right upper quadrant of the abdomen, radiating to the right shoulder. Ultrasonography of the right upper quadrant of the abdomen shows gallstones. Which of the following is the most likely underlying cause of this patient's current condition?","A: Decreased hepatic secretion of lecithin, B: Decreased reabsorption of bile salts, C: High ratio of cholesterol to bile acids in bile, D: Infestation with parasites secreting ÃÅ½ÃÂ²-glucuronidase, E: Overload of unconjugated bilirubin",E,13
14,"A 45-year-old man is brought to the emergency department 30 minutes after the sudden onset of crushing chest pain. His father, maternal aunt, and paternal uncle all died of myocardial infarctions under the age of 50 years. Physical examination shows tendinous xanthomas on the hands and thickened Achilles tendons. Serum lipid studies show a total cholesterol concentration of 410 mg/dL, HDL-cholesterol concentration of 30 mg/dL, and triglyceride concentration of 140 mg/dL. The diagnosis of myocardial infarction is made. This patient most likely has a deficiency of which of the following?","A: Apo B48, B: Apo C, C: HMG-CoA reductase activity, D: LDL receptor, E: Lipoprotein lipase activity",D,14
15,"An experimental animal is created in which the germinal centers of the reactive lymph nodes show shrinkage of cells, cytoplasmic budding, no adjacent inflammation, and intact plasma membranes. These cellular findings are most likely caused by which of the following mechanisms?","A: Caspase activation, B: Decreased cytochrome c concentration, C: Decreased intracellular Ca2+ concentration, D: Increased glutathione peroxidase activity, E: Increased lysosomal enzyme activity",A,15
16,Investigators conduct a study that evaluates the effect of finasteride on the incidence of prostate cancer in 500 patients. The investigators recruit an additional 1000 patients for the study. Which of the following effects will this have on the research study?,"A: Greater chance of a Type I error, B: Greater chance of a Type II error, C: Less chance of a Type I error, D: Less chance of a Type II error, E: Impossible to predict",D,16
17,"A 76-year-old man dies of a massive cerebral infarction shortly after admission to the hospital. During the past 10 years, he has had several smaller cerebral infarctions and two transient ischemic attacks. Examination of a cerebral cortex specimen obtained at autopsy shows extensive gliosis. This finding is most likely caused by the growth and proliferation of which of the following?","A: Astrocytes, B: Ependymal cells, C: Fibroblasts, D: Microglial cells, E: Oligodendrocytes",A,17
19,"A previously healthy 52-year-old woman comes to the physician because of a 2-month history of fatigue, constipation, and frequent urination. Her temperature is 37.1Â°C (98.8Â°F), pulse is 80/min, respirations are 14/min, and blood pressure is 140/90 mm Hg. Diffuse crackles are heard bilaterally. Her serum calcium concentration is 11.1 mg/dL, and serum parathyroid hormone concentration is decreased. A chest x-ray shows bilateral hilar lymphadenopathy and interstitial infiltrates. Which of the following is the most likely cause of this patient's hypercalcemia?","A: Calcitriol production by activated macrophages, B: Local resorption of bone by metastases, C: Parathyroid hormone-related peptide secretion, D: Secretion of parathyroid hormone, E: Secretion of thyroid-stimulating hormone",A,19
20,"A 66-year-old man who was recently diagnosed with Parkinson disease comes to the physician for a follow-up examination. Carbidopa-levodopa therapy was initiated at the time of diagnosis. The patient tells the physician that he still has episodes during which he ""freezes."" He has a clumsy gait, and there is rigidity of his upper extremities and hands. An adjunct therapy designed to inhibit which of the following enzymes is most likely indicated in this patient?","A: Aromatic L-amino acid decarboxylase, B: Dopamine Î²-hydroxylase, C: Monoamine oxidase B, D: Phenylethanolamine N-methyltransferase, E: Tyrosine hydroxylase",C,20
23,A 28-year-old man comes to the physician because of a 2-month history of a rash on his wrists and hands. He is a first-year mortuary science student. He also works on his grandfather's farm each weekend. His hobbies include raising homing pigeons and repairing vintage motorcycles. He recently changed to a different type of laundry detergent to save money. Physical examination shows a diffuse erythematous rash involving both hands up to the wrist creases. The rash does not extend over any other parts of the body. Which of the following is the most likely cause of this patient's rash?,"A: Change in laundry detergent, B: Exposure to chemicals during motorcycle repair, C: Handling pigeons, D: Pesticide exposure, E: Use of latex gloves",E,23
24,"A 10-year-old boy is brought to the emergency department in the middle of summer because of fever, headache, and photophobia. Several of his camp mates have had a similar illness. Physical examination shows mild nuchal rigidity. A lumbar puncture is performed. Laboratory studies show:
Serum glucose 90 mg/dL
Cerebrospinal fluid
Pressure, opening 50 mm H2O
Glucose 65 mg/dL
Total protein 70 mg/dL
Leukocyte count 43/mm3 (95% lymphocytes)
Which of the following infectious agents is the most likely cause of these findings?","A: Adenovirus, B: Enterovirus, C: Herpes simplex virus, D: Neisseria meningitidis, E: Streptococcus pneumoniae",B,24
26,"A 31-year-old woman with a 5-year history of fatigue comes to the physician for an initial visit. She has seen four other physicians for the same condition within the past 6 months, but no abnormalities were found. She gives the physician a large folder that contains her medical records. She says, ""I can barely get out of bed most mornings, but nobody can figure out why because all of my tests turn out normal. I really think I have chronic fatigue syndrome. What do you know about this condition?"" The physician has not treated any patient with chronic fatigue syndrome before. Which of the following initial statements by the physician is most appropriate to establish rapport with this patient?","A: ""From the size of the folder you brought, it looks like you've had very thorough examinations in the past."", B: ""I don't have much experience with chronic fatigue syndrome, but I'm committed to learning as much as I can about it."", C: ""I'm not familiar with chronic fatigue syndrome, except that many physicians don't think it's a real disease."", D: ""Let's start over from scratch. We'll need to repeat complete testing."", E: ""When nothing abnormal is found during thorough examinations and laboratory studies, there is often an underlying psychological cause of the symptoms.""",B,26
27,"A 3-week-old girl delivered at term with no complications is brought to the physician by her mother because of a 1-week history of yellow eyes and skin, tan-colored stools, and dark brown urine. The newborn has been breast-feeding without difficulty. She is alert and appears to be in no distress. She is at the 50th percentile for length and weight. Physical examination shows scleral icterus and jaundice. There is mild hepatomegaly; the spleen is not palpable. Laboratory studies show:
Hemoglobin 14.4 g/dL
Hematocrit 43%
Leukocyte count 8000/mm3
Serum
Albumin 3.5 g/dL
Bilirubin, total 14 mg/dL
 Direct 12.5 mg/dL
AST 50 U/L
ALT 45 U/L
Which of the following is the most likely diagnosis?","A: Biliary atresia, B: Crigler-Najjar syndrome, type I, C: Gilbert syndrome, D: Hemolytic disease of the newborn, E: Physiologic jaundice",A,27
28,"A 65-year-old woman comes to the physician for a follow-up examination after blood pressure measurements were 175/105 mm Hg and 185/110 mm Hg 1 and 3 weeks ago, respectively. She has well-controlled type 2 diabetes mellitus. Her blood pressure now is 175/110 mm Hg. Physical examination shows no other abnormalities. Antihypertensive therapy is started, but her blood pressure remains elevated at her next visit 3 weeks later. Laboratory studies show increased plasma renin activity; the erythrocyte sedimentation rate and serum electrolytes are within the reference ranges. Angiography shows a high-grade stenosis of the proximal right renal artery; the left renal artery appears normal. Which of the following is the most likely diagnosis?","A: Atherosclerosis, B: Congenital renal artery hypoplasia, C: Fibromuscular dysplasia, D: Takayasu arteritis, E: Temporal arteritis",A,28
31,"A 72-year-old man comes to the physician for a health maintenance examination. He has no personal or family history of major medical illnesses. He has never smoked cigarettes. Pulse oximetry on room air shows an oxygen saturation
of 98%. Physical examination shows plethoric skin and splenomegaly. Laboratory studies show:
Hemoglobin 21.1 g/dL
Hematocrit 61%
Leukocyte count 15,000/mm3
Segmented neutrophils 68%
Basophils 4%
Lymphocytes 28%
Platelet count 501,000/mm3
Leukocyte alkaline phosphatase increased
A peripheral blood smear shows occasional giant platelets. The primary hematologic defect in this patient most likely occurred in which of the following cells?","A: Erythroid progenitor, B: Hematopoietic stem, C: Lymphatic progenitor, D: Megakaryocyte progenitor, E: Pluripotent stem",B,31
32,"A 45-year-old man comes to the physician because of a 10-year history of heartburn that occurs after he eats late at night or consumes spicy food. He has had no weight loss or difficulty swallowing. He takes over-the-counter antacids as needed, but they relieve his discomfort only temporarily. Physical examination shows no abnormalities. An endoscopy is done. The distal esophagus is shown in the photograph. Which of the following is the most likely cause of this patient's symptoms?","A: Defect in secretin production, B: Excessive gastrin production, C: Excessive transient lower esophageal relaxations, D: Failure of primary esophageal peristalsis, E: Failure of saliva production",C,32
33,"A 21-year-old man comes to the emergency department in the winter because of headache, nausea, and dizziness for 4 hours. He has not had fever, chills, or shortness of breath. He has no history of major medical illness. He lives in a basement apartment of a three-story house. He smokes 1ÃÂ½ packs of cigarettes daily. Physical examination shows no abnormalities. It is most appropriate for the physician to ask the patient for more information about which of the following historical factors?","A: Occupational exposure, B: Substance use, C: Travel, D: Type of home heating, E: Use of over-the-counter medication",D,33
34,A 56-year-old woman comes to the physician because of a 2-year history of recurrent urinary tract infections accompanied by left flank pain. Physical examination shows no abnormalities. Renal ultrasonography shows left- sided hydronephrosis. A T2-weighted coronal MRI of the abdomen is shown; the arrow indicates the hydronephrosis. The left renal collecting system is most likely obstructed at which of the following anatomic locations in this patient?,"A: Bladder neck, B: Mid ureter, C: Renal calyx, D: Ureteropelvic junction, E: Ureterovesical junction",D,34
35,A 25-year-old woman comes to the physician because of a long history of pain with menses. The pain occurs on the first day of her 5-day menstrual period and lasts all day. She rates the pain as 10 on a 10-point scale. The most appropriate initial pharmacotherapy to relieve this patient's pain has which of the following mechanisms of action?,"A: Inhibition of estrogen synthesis, B: Inhibition of 11Î²-hydroxylase activity, C: Inhibition of prostaglandin synthesis, D: Stimulation of follicle-stimulating hormone synthesis, E: Stimulation of luteinizing hormone synthesis",C,35
36,"A 35-year-old man is brought to the emergency department 30 minutes after he sustained a cut on his hand while loading cargo at his job. He lives alone and takes most of his meals at a local restaurant. He eats mostly snack foods at the bar and fast food. He drinks four to six 12-oz beers daily and double that amount on weekends. He takes no medications. Physical examination shows a 3-cm laceration on the right hand that is bleeding steadily. Laboratory studies show a hemoglobin concentration of 11 g/dL, leukocyte count of 4000/mm3, and platelet count of 150,000/mm3. A photomicrograph of a peripheral blood smear is shown. A deficiency of which of the following is the most likely cause of this patient's anemia?","A: Folic acid, B: Glucose -6-phosphate dehydrogenase, C: Iron, D: Vitamin B 1 (thiamine), E: Vitamin B 6 (pyridoxine)",A,36
37,"A 3800-g (8-lb 6-oz) newborn is delivered vaginally at 39 weeks' gestation after an uncomplicated pregnancy. Apgar scores are 9 and 9 at 1 and 5 minutes, respectively. The newborn is crying, has pink skin, and appears vigorous. Physical examination shows a vagina and also a structure that appears to be a penis, with the urethra located at the base near the opening of the vagina. Chromosomal analysis is ordered. Which of the following is the most likely cause of the intersex findings in this newborn if the karyotype is found to be 46,XX?","A: 17Î±-Hydroxyprogesterone deficiency, B: Increased concentration of mullerian-inhibiting substance, C: Maternal androgen exposure, D: Presence of the sex-determining region Y gene, E: 5Î±-Reductase deficiency",C,37
39,"A randomized clinical trial is conducted to compare wound healing and cosmetic differences between two surgical procedures for closing skin wounds following cesarean delivery. A total of 1000 women undergoing cesarean delivery during a 6-month period are enrolled in the study, which was 85% of the total number of patients undergoing the procedure. The results show a wound infection rate of 12 cases per 1000 women for Procedure A and 18 cases per 1000 women for Procedure B. Which of the following is the best estimate of the absolute risk reduction for wound infection following Procedure A compared with Procedure B?","A: (18/1000) - (12/1000), B: 0.85 x (12/1000), C: 0.85 x (18/1000), D: [0.85 x (18/1000-12/1000)], E: [(1.2/100) - (1.8/100)]/(1.8/100)",A,39
40,"A 22-year-old man is brought to the emergency department 15 minutes after diving off a pier into shallow water, striking his forehead on the bottom of the pond. He says that he felt immediate pain in his neck and then lost all ability to move or feel his legs. Physical examination shows that all muscle function above the level of the injury is preserved. A lateral x-ray of the cervical spine is shown. Which of the following functions is most likely spared in this patient?","A: Elbow extension, B: Elbow flexion, C: Finger abduction, D: Thumb abduction, E: Wrist flexion",B,40
42,"A previously healthy 65-year-old woman comes to the physician because of several episodes of fainting during the past 2 months. Each episode lasted several minutes. Her pulse is 82/min, respirations are 20/min, and blood pressure is 135/87 mm Hg. Cardiac examination shows S3 and S4. Echocardiography shows a pedunculated intracardiac mass. The lesion is resected. A photomicrograph of the resected lesion is shown. This lesion was most likely obtained from which of the following locations?","A: Interventricular septum, B: Left atrium, C: Left ventricle, D: Right atrium, E: Right ventricle",B,42
43,"A male newborn is delivered at term to a 28-year-old primigravid woman. Physical examination shows a broad, flat nose; low-set ears; a receding chin; prominent infraorbital folds; and bilateral abdominal masses. The newborn develops cyanosis, difficulty breathing, and polyuria and dies 24 hours after birth. At autopsy, examination shows pulmonary hypoplasia and enlarged, polycystic kidneys. Genetic testing shows two copies of a gene having a pathogenic mutation with a disease incidence rate in the general population of 1 in 10,000. Which of the following best describes the mutation occurrence rate for this newborn's disease?","A: 1/100, B: 1/400, C: 1/1000, D: 1/4000, E: 1/10,000",A,43
44,A 75-year-old woman comes to the physician because of a 3-year history of pain in her wrists and hands. She says that the pain has become more severe during the past 3 months. She has difficulty buttoning her coat because of the pain. Physical examination shows the findings in the photograph. Which of the following additional hand findings is most likely in this patient?,"A: Cortical thinning, B: Degenerative changes of the cartilage, C: Inflammation of digital tendons, D: Neutrophilic infiltration of the synovium, E: Thickening of the synovium with pannus",B,44
45,"A previously healthy 64-year-old man is brought to the emergency department 3 hours after the sudden onset of severe flank pain. He has no history of similar pain or serious illness. He takes no medications. He appears to be in distress. His pulse is 100/min, and blood pressure is 168/92 mm Hg. Physical examination shows a soft abdomen with leftsided tenderness. Urinalysis shows microscopic hematuria. A CT scan of the abdomen shows a small ureteric calculus. Analgesic therapy is initiated and the pain resolves 1 hour later. The urine is then strained and a uric acid calculus is found. Which of the following processes is most likely impaired in this patient?","A: Bile salt metabolism, B: Cholesterol metabolism, C: Cytochrome P450 activity, D: Purine metabolism, E: Urea cycle",D,45
47,"A 71-year-old woman comes to the physician because of a 5-day history of a painful rash. The rash began as a burning sensation over the right lower side of her chest. Three days ago, small, flat, painful macules appeared that rapidly progressed to vesicular lesions. During this period, the pain has continually increased in severity. Her temperature is 37.8Â°C (100Â°F), pulse is 72/min, respirations are 22/min, and blood pressure is 129/78 mm Hg. Physical examination shows the findings in the photograph. The rash does not cross the midline. The most likely cause of this patient's illness is a deficiency in which of the following components of the immune system?","A: Cellular, B: Complement, C: Humoral, D: Phagocytic cell, E: Toll-like receptor",A,47
48,"A 19-year-old man undergoes splenectomy because of crush injuries sustained in a motor vehicle collision. During the operation, two small accessory spleens are seen adjacent to the ruptured spleen. The most likely origin of this patient's congenital anomaly is thickening of an embryologic layer at which of the following sites?","A: Adjacent to the ventral pancreas, B: Along the lesser curvature of the stomach, C: At the origin of the celiac vessels, D: In a portion of the hepatic diverticulum, E: Within the dorsal mesogastrium",E,48
51,"A 19-year-old man who is a college freshman comes to the office because of a 4-day history of tender, swollen glands. He also has a 6-day history of fever, malaise, and decreased appetite. His temperature is 38.7ÃÂ°C (101.7ÃÂ°F). Physical examination shows swelling of the parotid glands. Which of the following infectious agents is the most likely cause of these findings?","A: Epstein-Barr virus, B: Hepatitis B virus, C: Measles virus, D: Mumps virus, E: Rubella virus",D,51
52,"A 38-year-old woman who is a veteran comes to the emergency department because of a 4-hour history of a sensation of tightness in her throat and swelling of her face, lips, and tongue. She has not had itching. During the past 3 weeks, she has had two similar, milder episodes that resolved without treatment within 24 to 72 hours. Six weeks ago, she began treatment with an ACE inhibitor for hypertension. She has seasonal allergies. Her temperature is 37.1Â°C (98.8Â°F), pulse is 80/min, respirations are 20/min, and blood pressure is 138/81 mm Hg. Physical examination shows angioedema of the lips and tongue. There is no evidence of urticaria. Which of the following is the most likely cause of the angioedema in this patient?","A: Bradykinin, B: Histamine, C: Leukotriene B4, D: Nitric oxide, E: Prostaglandin E2",A,52
54,"A 48-year-old woman comes to the physician because of a 2-month history of fatigue and poor appetite; she has had a 3-kg (6.6-lb) weight loss during this period. Abdominal examination shows moderate splenomegaly. Laboratory studies show a leukocyte count of 185,000/mm3 (65% segmented neutrophils with 6% blasts and promyelocytes). Cytogenetic analysis of a bone marrow aspirate shows the presence of the Philadelphia (Ph1) chromosome in myelocytes. Which of the following mechanisms best accounts for the formation of the Philadelphia (Ph1) chromosome in this patient?","A: Nondisjunction, B: Recombination, C: Sister chromatid exchange, D: Telomere breakage, E: Transposon insertion",B,54
55,"A 2-year-old boy is brought to the physician because of failure to thrive. He also has had loose, fatty, foul-smelling stools and a cough during the past 2 weeks. He is at the 30th percentile for height and 10th percentile for weight. Physical examination shows no other abnormalities. Laboratory studies show steatorrhea and a sweat chloride concentration of 80 mmol/L. A chest x-ray shows hyperinflation. Sputum culture grows Haemophilus influenzae and Staphylococcus aureus. Secretion of which of the following substances is most likely to be decreased in this patient?","A: Bicarbonate, B: Gastric acid, C: Glucagon, D: Insulin, E: Intrinsic factor",A,55
56,"A 19-year-old man is admitted to the hospital 1 hour after he was involved in a motor vehicle collision in which he sustained fractures to the right clavicle, multiple ribs, and the left hip. He was traveling at 40 mph when he was thrown from his motorcycle and struck a tree. He did not lose consciousness. He has no history of serious illness and takes no medications. His temperature is 37.0Â°C (98.6Â°F), pulse is 92/min, respirations are 12/min, and blood pressure is 106/72 mm Hg. Examination shows abrasions over the neck, right shoulder, both sides of the rib cage, and left thigh. Cranial nerves are intact. Muscle strength is 5/5 in the left upper and right lower extremities. Muscle strength testing of the left lower extremity is limited by pain. Deep tendon reflexes are 1+ in the right biceps and brachioradialis and 2+ elsewhere. Sensation to cold and pinprick is decreased over the right shoulder. Mental status examination shows no abnormalities. A diagram of the site of the right shoulder injury (arrow) is shown. Further examination is most likely to show weakness of the right upper extremity during which of the following maneuvers?","A: Elbow extension, B: Finger abduction, C: Shoulder abduction, D: Thumb flexion, E: Wrist flexion",C,56
57,"A 10-year-old boy is brought to the physician because of a 3-week history of nosebleeds and easy bruisability. His older brother has had similar episodes. He is at the 30th percentile for height and weight. Physical examination shows nasal and gingival bleeding and several ecchymoses over the trunk and upper and lower extremities in various stages of healing. Laboratory studies show a platelet count of 300,000/mm3 (N=150,000-400,000). Platelet adhesion testing shows a normal response to ristocetin, but aggregation does not occur in response to thrombin; platelet morphology is normal. Prothrombin time and activated partial thromboplastin time are within the reference ranges. A defect in which of the following is the most likely cause of the findings in this patient?","A: Factor VII (proconvertin), B: Fibrinogen, C: Glycoprotein IIb-IIIa, D: Granule storage pool, E: von Willebrand factor",C,57
59,"A 25-year-old woman comes to the physician because of a 4-month history of cough and unintentional weight loss. Rhonchi are heard posteriorly over the right upper thorax. A chest x-ray shows an 8-cm cavity in the right upper lobe and hilar lymphadenopathy. Ziehl-Neelsen staining of an induced sputum specimen shows acid-fast bacilli. The patient begins treatment with four antimycobacterial drugs, including rifampin. Synthesis of which of the following components of the suspected pathogen is most likely directly inhibited by the rifampin in this patient's medication regimen?","A: ATP, B: Folic acid, C: Peptidoglycan, D: Protein, E: RNA",E,59
60,"A 34-year-old man is brought to the emergency department 30 minutes after being hit by a motor vehicle while walking. His temperature is 36Â°C (96.8Â°F), pulse is 140/min, respirations are 24/min, and blood pressure is 90/60 mm Hg. During an exploratory laparotomy, a large laceration is found that includes the right and left lobes of the liver. Active bleeding is present. Compression of which of the following ligaments is most likely to decrease bleeding from the liver in this patient?","A: Coronary, B: Falciform, C: Gastrohepatic, D: Hepatoduodenal, E: Triangular",D,60
62,"A study is conducted to determine the effects on humans of replacing a portion of dietary carbohydrates with various fatty acids. The serum concentrations of total cholesterol, LDL-cholesterol, and HDL-cholesterol are measured. For every 1% energy increase in dietary trans-18:1 fatty acid, which of the following sets of results is most likely?","A: , B: , C: , D: , E: ",C,62
63,"A new drug, Drug X, is being investigated to determine its pharmacokinetic properties in humans. A male participant who weighs 85 kg (187 lb) with 50 L of total body water begins treatment with an intravenous infusion of Drug X at the rate of 100 mg/h. This drug is known to distribute in total body water. The plasma concentrations of the drug are measured. Results show that the steady-state plasma concentration of Drug X is 50 mg/L. Based on this information, which of the following is the clearance rate of this drug in this man?","A: 20 mg/h, B: 100 mg/h, C: 0.22 L/h, D: 2 L/h, E: 22 L/h",D,63
64,"A 78-year-old woman is admitted to the intensive care unit because of diverticulitis complicated by Escherichia coli sepsis. Treatment with ciprofloxacin is started. Three days later, her serum creatinine concentration has increased from 0.7 mg/dL on admission to 1.3 mg/dL. Urinalysis shows muddy brown casts. The most likely cause of the findings in this patient is ischemia of which of the following structures?","A: Bowman capsule, B: Glomerulus, C: Interstitium, D: Proximal tubule, E: Renal vein",D,64
65,"A 34-year-old woman with myasthenia gravis comes to the emergency department because of a 2-day history of increasing weakness, shortness of breath, and abdominal cramping. Current medications are prednisone and pyridostigmine. Her temperature is 37Â°C (98.6Â°F), pulse is 45/min, and respirations are 25/min and shallow. Her voice is soft and hypernasal, and she coughs weakly when swallowing water. Breath and heart sounds are normal. Pulmonary testing shows inability to generate a normal negative inspiratory force during forced inspiration. The abdomen is soft and nontender, with increased bowel sounds. Muscle strength is 4/5 diffusely, with severe, continuous, and diffuse fasciculations. Deep tendon reflexes are sluggish, but symmetric. Which of the following is the most likely cause of this patient's weakness?","A: Aspiration pneumonia, B: Guillain-Barre syndrome, C: Insufficient dose of prednisone, D: Motor neuron disease, E: Pyridostigmine overdose",E,65
67,"A 12-year-old boy is brought to the office by his parents for genetic counseling because of a family history of genetic disorders. He has no symptoms or history of major medical illness. The patient's maternal grandfather died of Huntington disease at the age of 35 years. Genetic testing of the mother showed 19 triplet repeats on each huntingtin (HTT) allele (N=10-20). The patient's paternal grandfather had colon cancer at the age of 30 years, and the father had
numerous colon polyps at the age of 20 years treated with a colectomy. Genetic testing of the father shows heterozygosity for a frame-shift mutation in the APC gene. Physical examination of the patient shows no abnormalities. Based on this patient's risk for genetic disease, it is most appropriate for the physician to order which of the following genetic tests at this time?","A: Analysis of triplet repeat sizes of HTT, B: Full sequencing and rearrangement analysis of APC, C: Full sequencing of HTT, D: Specific testing for the APC frame-shift mutation, E: It is not recommended to do predictive genetic testing on a minor",D,67
68,A 53-year-old woman comes to the office because of a 6-year history of stiffness and pain of her hands. She has difficulty buttoning her clothes because of the symptoms. She takes no medications. Physical examination shows the findings in the photograph. An abnormality of which of the following is most likely to confirm the diagnosis in this patient?,"A: Anti-citrullinated peptide antibody, B: Antimitochondrial antibody assay, C: Human leukocyte antigen -DQ2 antibody assay, D: Precursor of the erythroid cell line, E: Precursor of the thrombopoietic line",A,68
70,"A 5-year-old girl is brought to the office by her mother because of a 6-hour history of bloody diarrhea. She is interactive and in no acute distress. Her blood pressure is 90/55 mm Hg. Abdominal examination shows normoactive bowel sounds. Stool cultures are obtained, and the patient's mother is advised to give the girl plenty of fluids. Five days later, the patient develops decreased urine output and is brought back to the office. Her blood pressure is now 135/88 mm Hg. Physical examination shows pallor. Laboratory studies show:
Hemoglobin 8.5 g/dL (N=11-15)
Hematocrit 26% (N=28%-45%)
Platelet count 45,000/mm3
(N=150,000-400,000)
Serum creatinine 3.3 mg/dL (N=0.3-0.7)
Which of the following infectious agents is the most likely cause of these findings?","A: Campylobacter jejuni, B: Escherichia coli, C: Rotavirus, D: Salmonella enterica serovar enteritidis, E: Yersinia pestis",B,70
